,TrigNo,T50,T90,F1,F2,F3,F4,P64,P256,P1024
1,105,1.792,5.184,8.69E-07,1.32E-06,2.05E-06,1.03E-06,12.761,11.857,9.937
2,107,68.608,208.576,5.50E-08,5.69E-08,5.92E-08,7.69E-08,0.408,0.299,0.2
3,108,1.28,3.136,8.29E-09,1.50E-08,3.20E-08,1.46E-06,0.812,0.439,0.112
4,109,47.104,90.176,4.43E-06,7.31E-06,1.77E-05,2.95E-05,3.777,3.62,3.35
5,110,306.368,430.016,4.50E-07,4.67E-07,1.78E-06,4.01E-07,0.475,0.478,0.367
6,111,41.728,98.176,1.11E-06,1.89E-06,2.02E-06,0,0.774,0.649,0.589
7,114,29.632,381.248,6.59E-07,7.02E-07,7.21E-07,0,0.74,0.722,0.516
8,121,48.64,75.008,2.50E-06,2.64E-06,4.78E-06,7.27E-06,1.793,1.496,1.128
9,130,33.792,61.952,3.19E-06,4.89E-06,1.35E-05,1.72E-05,3.926,3.468,2.816
10,133,95.232,182.016,7.43E-07,7.47E-07,2.42E-06,1.83E-06,0.808,0.659,0.607
11,138,0.218,0.315,6.71E-09,1.78E-08,5.89E-08,5.28E-08,1.107,0.722,0.364
12,143,6.72,50.816,5.72E-06,7.59E-06,4.56E-05,0.000233,52.008,47.569,37.634
13,148,419.008,454.016,6.31E-07,6.43E-07,8.17E-07,7.09E-09,1.442,1.404,1.267
14,160,8.384,17.024,5.17E-07,8.40E-07,3.06E-06,4.40E-07,4.21,3,2.584
15,171,12.864,24.768,4.34E-07,4.47E-07,7.84E-07,1.80E-07,1.077,0.646,0.602
16,179,3.2,7.232,2.57E-07,2.78E-07,5.04E-07,7.57E-08,5.249,4.736,2.5
17,185,0.056,0.132,8.57E-09,8.51E-09,3.39E-08,0,1.583,0.729,0.165
18,204,20.288,62.656,1.47E-08,5.52E-08,5.37E-07,1.49E-06,0.708,0.674,0.513
19,207,0.042,0.085,4.09E-09,8.45E-09,5.81E-08,3.34E-07,2.836,1.025,0.198
20,211,203.84,292.736,3.66E-07,3.97E-07,7.55E-07,0,0.7,0.507,0.466
21,214,18.816,45.696,4.06E-07,4.40E-07,4.14E-07,0,0.982,0.752,0.649
22,218,0.597,1.173,1.12E-08,3.51E-08,1.23E-07,3.49E-07,0.978,0.868,0.665
23,219,6.272,29.696,3.03E-06,4.22E-06,1.05E-05,1.48E-05,20.133,18.063,13.069
24,222,57.024,73.088,7.81E-07,1.04E-06,2.77E-06,2.54E-06,4.538,3.99,3.005
25,223,22.784,29.184,5.18E-08,6.49E-08,1.68E-07,0,0.633,0.457,0.374
26,226,61.44,221.184,2.17E-06,3.21E-06,9.43E-06,2.47E-05,1.307,1.298,1.09
27,228,5.504,12.352,1.33E-07,1.24E-07,1.77E-07,4.72E-08,1.332,1.054,0.817
28,229,0.256,0.448,4.43E-09,1.12E-08,5.42E-08,6.62E-08,1.085,0.674,0.288
29,235,10.304,26.432,1.51E-07,2.16E-07,9.76E-07,1.62E-06,0.719,0.552,0.405
30,237,30.208,40.512,6.74E-08,8.29E-08,3.81E-07,3.82E-07,0.967,0.825,0.639
31,249,6.656,28.544,6.44E-06,1.21E-05,4.21E-05,8.96E-05,35.696,34.621,31.66
32,254,0.192,0.384,1.19E-08,1.57E-08,1.57E-07,1.10E-06,1.545,1.319,0.483
33,257,28.48,80.832,8.00E-07,1.29E-06,4.19E-06,3.05E-05,1.866,1.711,1.493
34,288,21.44,41.152,3.09E-07,3.17E-07,5.48E-07,4.27E-06,0.659,0.519,0.397
35,289,0.03,0.067,5.27E-10,3.64E-09,2.99E-08,6.28E-08,1.607,0.51,0.163
